t_i,estKM,lwrCI,uprCI,Tract
1.666656683,0.18,0.32,0.23,11001000100
1.686765608,0.18,0.33,0.24,11001000100
1.737803941,0.18,0.33,0.24,11001000100
1.749254991,0.19,0.33,0.25,11001000100
1.75675878,0.2,0.34,0.25,11001000100
1.782080942,0.21,0.34,0.26,11001000100
1.879983195,0.21,0.34,0.26,11001000100
1.89402039,0.21,0.34,0.26,11001000100
1.936969559,0.21,0.35,0.27,11001000100
1.951191669,0.21,0.35,0.27,11001000100
1.963723728,0.22,0.36,0.27,11001000100
1.984931099,0.22,0.36,0.27,11001000100
1.987016063,0.22,0.37,0.27,11001000100
2.015363003,0.22,0.37,0.28,11001000100
2.072943601,0.22,0.38,0.28,11001000100
2.144338225,0.22,0.39,0.28,11001000100
2.173752376,0.23,0.4,0.28,11001000100
2.210637506,0.23,0.41,0.29,11001000100
2.230756422,0.23,0.41,0.29,11001000100
2.300343691,0.24,0.42,0.3,11001000100
2.301945641,0.24,0.42,0.3,11001000100
2.324573197,0.24,0.42,0.3,11001000100
2.361822751,0.25,0.43,0.31,11001000100
2.378587109,0.25,0.44,0.31,11001000100
2.384466554,0.25,0.44,0.31,11001000100
2.400279142,0.25,0.45,0.32,11001000100
2.473785247,0.26,0.45,0.32,11001000100
2.505181064,0.26,0.46,0.32,11001000100
2.535621484,0.27,0.47,0.32,11001000100
2.591264385,0.27,0.47,0.33,11001000100
2.624439008,0.27,0.48,0.33,11001000100
2.632902375,0.28,0.48,0.33,11001000100
2.665759323,0.28,0.48,0.33,11001000100
2.781772775,0.29,0.49,0.33,11001000100
2.803599688,0.29,0.49,0.33,11001000100
2.807812838,0.29,0.49,0.34,11001000100
2.835535957,0.3,0.49,0.34,11001000100
2.852271307,0.3,0.5,0.35,11001000100
2.864769057,0.3,0.5,0.36,11001000100
2.866498294,0.3,0.5,0.37,11001000100
2.999596731,0.3,0.51,0.37,11001000100
3.138792615,0.3,0.52,0.38,11001000100
3.21629925,0.3,0.52,0.38,11001000100
3.227039476,0.31,0.53,0.39,11001000100
3.269481895,0.31,0.54,0.39,11001000100
3.414503589,0.31,0.55,0.39,11001000100
3.431031974,0.31,0.56,0.39,11001000100
3.451453997,0.31,0.56,0.4,11001000100
3.672151994,0.32,0.56,0.4,11001000100
3.677857625,0.32,0.57,0.4,11001000100
3.74649291,0.32,0.57,0.41,11001000100
3.802044359,0.33,0.58,0.42,11001000100
3.855501909,0.33,0.58,0.43,11001000100
3.87055163,0.33,0.59,0.43,11001000100
3.898381713,0.33,0.59,0.43,11001000100
3.926617967,0.34,0.59,0.43,11001000100
3.950930123,0.34,0.6,0.44,11001000100
3.96636494,0.35,0.6,0.44,11001000100
3.967620525,0.35,0.6,0.44,11001000100
4.006116912,0.36,0.6,0.44,11001000100
4.036371535,0.36,0.61,0.45,11001000100
4.112012115,0.36,0.61,0.46,11001000100
4.202120707,0.37,0.61,0.46,11001000100
4.20630936,0.37,0.61,0.47,11001000100
4.236777887,0.38,0.62,0.47,11001000100
4.33579522,0.38,0.62,0.48,11001000100
4.343513287,0.39,0.62,0.48,11001000100
4.391236615,0.4,0.62,0.48,11001000100
4.544008851,0.41,0.63,0.48,11001000100
4.565016511,0.41,0.63,0.49,11001000100
4.641614567,0.42,0.63,0.49,11001000100
4.708718186,0.42,0.63,0.49,11001000100
4.724198262,0.42,0.64,0.5,11001000100
4.758305195,0.42,0.65,0.5,11001000100
4.876869502,0.43,0.65,0.5,11001000100
4.97497065,0.43,0.65,0.5,11001000100
5.071980935,0.43,0.65,0.51,11001000100
5.111486008,0.44,0.65,0.51,11001000100
5.127894488,0.45,0.65,0.51,11001000100
5.23558362,0.45,0.65,0.51,11001000100
5.239744506,0.46,0.65,0.51,11001000100
5.26551246,0.47,0.66,0.51,11001000100
5.316066434,0.48,0.66,0.51,11001000100
5.533052841,0.48,0.66,0.52,11001000100
5.554806341,0.48,0.66,0.52,11001000100
5.768049689,0.49,0.66,0.52,11001000100
5.849561239,0.49,0.66,0.53,11001000100
5.91398976,0.49,0.66,0.53,11001000100
5.932202151,0.5,0.66,0.54,11001000100
5.948673519,0.5,0.67,0.54,11001000100
6.006140705,0.5,0.67,0.55,11001000100
6.0451911,0.51,0.67,0.56,11001000100
6.105705162,0.51,0.67,0.56,11001000100
6.131385826,0.52,0.67,0.56,11001000100
6.146687236,0.53,0.67,0.57,11001000100
6.197433949,0.53,0.67,0.57,11001000100
6.33365906,0.54,0.67,0.57,11001000100
6.383375824,0.54,0.68,0.58,11001000100
6.484168971,0.54,0.68,0.58,11001000100
6.508418913,0.55,0.68,0.58,11001000100
6.568695163,0.55,0.68,0.58,11001000100
6.758223614,0.55,0.68,0.58,11001000100
6.7871309,0.55,0.68,0.58,11001000100
6.894643064,0.55,0.68,0.58,11001000100
6.904815097,0.56,0.68,0.59,11001000100
6.998155053,0.56,0.69,0.59,11001000100
7.014979298,0.56,0.69,0.59,11001000100
7.089491371,0.56,0.69,0.59,11001000100
7.094108864,0.56,0.7,0.59,11001000100
7.13950542,0.56,0.7,0.59,11001000100
7.195571316,0.57,0.71,0.59,11001000100
7.274177247,0.57,0.71,0.59,11001000100
7.434722374,0.57,0.71,0.59,11001000100
7.47067369,0.58,0.71,0.6,11001000100
7.608077774,0.59,0.72,0.6,11001000100
7.67626656,0.6,0.72,0.6,11001000100
7.743603803,0.6,0.72,0.61,11001000100
7.800749154,0.61,0.72,0.61,11001000100
7.839011897,0.61,0.72,0.61,11001000100
7.927331035,0.61,0.73,0.62,11001000100
8.223174611,0.61,0.73,0.62,11001000100
8.326502637,0.61,0.73,0.62,11001000100
8.477108338,0.62,0.73,0.62,11001000100
8.486647517,0.62,0.74,0.62,11001000100
8.530576263,0.62,0.74,0.62,11001000100
8.561850834,0.62,0.74,0.63,11001000100
8.634002479,0.62,0.74,0.63,11001000100
8.668541643,0.63,0.75,0.63,11001000100
9.080365718,0.63,0.75,0.63,11001000100
9.097479219,0.63,0.75,0.64,11001000100
9.131354932,0.64,0.75,0.65,11001000100
9.284200669,0.64,0.75,0.66,11001000100
9.325621508,0.64,0.76,0.66,11001000100
9.45467875,0.64,0.76,0.67,11001000100
9.487748441,0.65,0.76,0.68,11001000100
9.488646882,0.65,0.76,0.68,11001000100
9.684337946,0.66,0.76,0.69,11001000100
9.729976706,0.66,0.76,0.69,11001000100
9.845978592,0.66,0.76,0.69,11001000100
9.863191827,0.67,0.76,0.69,11001000100
10.14818457,0.67,0.76,0.7,11001000100
10.45794299,0.67,0.76,0.7,11001000100
10.56850886,0.68,0.76,0.7,11001000100
10.62273193,0.69,0.76,0.71,11001000100
10.75096946,0.69,0.77,0.72,11001000100
10.76266667,0.7,0.77,0.72,11001000100
10.76520589,0.71,0.77,0.72,11001000100
10.77247152,0.71,0.77,0.72,11001000100
10.88691407,0.71,0.77,0.73,11001000100
11.47297111,0.72,0.77,0.73,11001000100
11.69801219,0.72,0.77,0.73,11001000100
11.79833626,0.72,0.77,0.73,11001000100
11.85271146,0.73,0.77,0.73,11001000100
11.85461704,0.74,0.77,0.73,11001000100
12.05573004,0.74,0.77,0.74,11001000100
12.35059242,0.74,0.78,0.74,11001000100
12.76060274,0.75,0.78,0.74,11001000100
12.76428967,0.75,0.79,0.75,11001000100
13.06314669,0.75,0.79,0.75,11001000100
13.07654268,0.76,0.79,0.76,11001000100
13.22117038,0.77,0.79,0.77,11001000100
13.556524,0.78,0.8,0.78,11001000100
13.94656449,0.78,0.8,0.79,11001000100
13.98735229,0.79,0.8,0.8,11001000100
14.12432159,0.79,0.8,0.8,11001000100
14.3175467,0.8,0.8,0.8,11001000100
14.3744225,0.8,0.81,0.81,11001000100
14.87224706,0.8,0.82,0.81,11001000100
15.05603976,0.81,0.82,0.82,11001000100
15.53927734,0.81,0.82,0.83,11001000100
15.74359431,0.81,0.82,0.83,11001000100
15.77090486,0.82,0.82,0.84,11001000100
15.77246286,0.83,0.83,0.84,11001000100
16.32166809,0.84,0.83,0.85,11001000100
16.35394046,0.84,0.83,0.85,11001000100
17.30122449,0.84,0.83,0.86,11001000100
17.46268805,0.84,0.84,0.86,11001000100
17.50184646,0.85,0.85,0.86,11001000100
17.58117583,0.85,0.85,0.86,11001000100
17.98842051,0.85,0.85,0.87,11001000100
18.00862082,0.85,0.85,0.87,11001000100
18.50861313,0.85,0.86,0.87,11001000100
18.62354218,0.86,0.86,0.88,11001000100
19.41642782,0.86,0.86,0.88,11001000100
19.54554097,0.87,0.86,0.88,11001000100
19.86980726,0.87,0.86,0.89,11001000100
20.29289169,0.88,0.86,0.89,11001000100
20.36327354,0.89,0.86,0.9,11001000100
20.64387724,0.9,0.86,0.91,11001000100
21.52773841,0.9,0.86,0.91,11001000100
21.58708975,0.91,0.87,0.92,11001000100
21.90528476,0.92,0.87,0.92,11001000100
22.10500726,0.92,0.87,0.92,11001000100
22.55900247,0.92,0.87,0.93,11001000100
23.01962951,0.92,0.87,0.93,11001000100
23.05806304,0.93,0.88,0.93,11001000100
23.27965615,0.93,0.89,0.93,11001000100
23.7952462,0.93,0.89,0.93,11001000100
23.99023297,0.93,0.9,0.94,11001000100
24.33765226,0.93,0.9,0.94,11001000100
24.3699939,0.94,0.9,0.94,11001000100
24.63965832,0.94,0.91,0.94,11001000100
25.01389511,0.95,0.92,0.94,11001000100
25.29654699,0.95,0.92,0.95,11001000100
26.06106651,0.96,0.93,0.95,11001000100
26.4763909,0.96,0.93,0.95,11001000100
27.10255436,0.96,0.93,0.96,11001000100
27.26779112,0.96,0.94,0.96,11001000100
28.91814442,0.97,0.94,0.96,11001000100
29.79055735,0.97,0.94,0.97,11001000100
30.186768,0.97,0.94,0.97,11001000100
